vdw,elec,bsa,desolv,fnat,dockq,caprieval_rank,Molecule name
26.389,-0.934,1769.69,-27.366,0.186,0.078,1,7b0b_H0-L0_rigid_capri_ss.tsv
160.594,0.994,1379.84,-30.973,0.163,0.069,2,7b0b_H0-L0_rigid_capri_ss.tsv
135.046,-3.494,1524.9,-31.525,0.326,0.24,3,7b0b_H0-L0_rigid_capri_ss.tsv
62.223,-1.083,1796.48,-27.51,0.186,0.079,4,7b0b_H0-L0_rigid_capri_ss.tsv
103.32,0.201,1434.76,-28.132,0.209,0.081,5,7b0b_H0-L0_rigid_capri_ss.tsv
60.025,-0.593,1689.12,-36.611,0.302,0.182,6,7b0b_H0-L0_rigid_capri_ss.tsv
95.969,-2.647,1436.14,-25.932,0.791,0.676,7,7b0b_H0-L0_rigid_capri_ss.tsv
66.039,-0.803,1776.74,-25.779,0.186,0.078,8,7b0b_H0-L0_rigid_capri_ss.tsv
139.535,-3.574,2056.79,-24.489,0.209,0.091,9,7b0b_H0-L0_rigid_capri_ss.tsv
65.469,-0.364,1735.06,-27.894,0.186,0.079,10,7b0b_H0-L0_rigid_capri_ss.tsv
49.968,-0.699,1790.98,-26.268,0.186,0.078,11,7b0b_H0-L0_rigid_capri_ss.tsv
68.395,-0.418,1775.71,-26.405,0.186,0.078,12,7b0b_H0-L0_rigid_capri_ss.tsv
124.176,-1.746,1717.51,-21.515,0.14,0.062,13,7b0b_H0-L0_rigid_capri_ss.tsv
75.396,-0.339,1755.79,-27.895,0.186,0.079,14,7b0b_H0-L0_rigid_capri_ss.tsv
136.79,-0.874,1394.39,-29.078,0.209,0.086,15,7b0b_H0-L0_rigid_capri_ss.tsv
101.963,0.176,1111.19,-29.974,0.419,0.294,16,7b0b_H0-L0_rigid_capri_ss.tsv
119.31,-0.39,1757.5,-31.494,0.302,0.213,17,7b0b_H0-L0_rigid_capri_ss.tsv
79.28,-0.223,1768.26,-29.328,0.186,0.078,18,7b0b_H0-L0_rigid_capri_ss.tsv
